Query,Lineage,aLRT,UFbootstrap,Length,Ns(%),Note,Year_first,Year_last,Countries
MG659954,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG953425,C,98,100,1675,2.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312121,M,93,87,1692,0.00,assigned (bootstrap value >= 70),1955,1955,ZAF
J8,C,97,100,1690,4.14,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574070,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P71,C,98,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JQ820481,C,98,100,1689,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380170,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196499,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
OM744371,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659969,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU574069,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HM586982,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HE687307,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
NC_014395,A,95,100,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
EU312138,A,96,99,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
MG659908,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312140,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KX944816,H,100,100,1676,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312105,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659935,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659970,H,99,100,1692,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
SWA-ISI,C,97,100,1690,0.06,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P55,C,98,100,1690,4.44,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380169,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JQ840746,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU709747,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659937,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659972,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312142,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KX944814,H,100,100,1626,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312107,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HA-HAR,C,97,100,1690,8.93,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380156,K,95,73,1691,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
ON060830,C,97,100,1671,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
BDI0003,C,98,100,1690,5.50,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HM586980,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380172,D,98,100,1690,0.00,assigned (bootstrap value >= 70),1973,1973,CAF
P104,C,98,100,1690,4.97,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
OM744373,C,97,100,1689,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF326196,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
RU1,C,98,100,1690,5.44,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312123,E,84,84,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
MG659913,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659956,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KY196503,C,98,100,1692,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF311387,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P36,C,98,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P73,C,98,100,1690,4.85,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574072,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659988,C,97,99,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312145,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KX944813,H,100,100,1661,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659975,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659930,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
HE687302,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P90,C,98,100,1690,6.04,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659948,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG972980,C,98,100,1581,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JU-KB,C,97,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
N12,C,97,100,1690,0.77,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KEM-JC,C,98,100,1690,4.97,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P103,C,98,100,1690,5.03,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380175,L,90,88,1691,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
OM744374,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JQ820479,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060780,C,98,100,1680,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659929,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312119,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659951,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659914,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312124,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P31,C,98,100,1690,7.46,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574075,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196506,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312126,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659953,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659916,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU574077,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P76,C,98,100,1690,5.74,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KEM-ND,C,98,100,1690,3.31,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P33,C,97,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380177,N,99,100,1690,0.00,assigned (bootstrap value >= 70),1975,1987,MRT;SEN
KX944808,L,91,93,1653,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
ON060835,C,98,100,1589,8.31,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380153,A,96,100,1690,0.00,assigned (bootstrap value >= 70),1974,1979,MDG;ZWE;EGY
BDI0006,C,98,100,1690,7.40,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HM586978,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
A-MO,C,98,100,1690,0.36,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659977,H,100,100,1692,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659932,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312147,C,97,99,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KX944811,H,99,100,1678,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KY196487,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
BDI0002,C,97,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HM586981,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JQ840745,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574057,C,97,100,1689,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P13,C,98,100,1661,2.65,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659973,H,100,100,1692,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
08HAB,C,96,100,1660,3.92,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659936,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312106,C,98,99,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KX944815,H,99,100,1617,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312143,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
K2,C,97,100,1690,3.08,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574073,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312122,E,86,83,1690,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
MG659957,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG953426,C,97,100,1641,1.58,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659912,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
KY196502,C,97,100,1692,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF311386,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P319,C,97,100,1690,7.34,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF326197,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060815,K,95,97,1681,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
DQ380173,J,86,72,1691,0.00,assigned (bootstrap value >= 70),1974,1974,ZWE
OM744372,C,97,100,1689,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060786,K,96,93,1681,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
JQ820482,C,97,100,1689,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659968,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
JQ820480,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196498,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
DQ380171,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
OM744370,C,98,100,1689,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MO-LE,C,98,100,1690,0.06,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574071,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KX944817,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
P35,C,98,100,1690,3.37,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
KY196500,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659955,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659910,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
EU312120,L,89,77,1691,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
MG953424,C,97,100,1615,5.88,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659909,H,99,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
P11,C,97,100,1690,4.44,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380168,E,86,92,1691,0.00,assigned (bootstrap value >= 70),1974,1978,CAF;ZWE
E358,C,99,100,1690,0.06,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312104,N,99,100,1692,0.00,assigned (bootstrap value >= 70),1975,1987,MRT;SEN
EU312141,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF784388,L,90,92,1691,0.00,assigned (bootstrap value >= 70),1955,1975,KEN;ZAF;ZWE
MG659971,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
MG659934,H,100,100,1691,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
P302,C,97,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU312139,C,97,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574068,C,98,100,1690,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
HM586983,C,98,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
ON060833,C,97,100,1674,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
DQ380155,K,95,84,1691,0.00,assigned (bootstrap value >= 70),1944,2010,KEN;UGA;ZAF;ZWE
P69,C,97,100,1690,6.09,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
EU574059,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
J9,C,97,100,1689,3.02,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF311391,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
JF326204,C,97,100,1691,0.00,assigned (bootstrap value >= 70),1976,2021,KEN;ZAF;TZA;NAM;SDN;ZWE;UGA;SAU;MYT;MDG
MG659905,M,99,100,1692,0.00,assigned (bootstrap value >= 70),1955,1955,ZAF
MG659940,H,100,100,1690,0.00,assigned (bootstrap value >= 70),2009,2015,NAM;ZAF;MRT
